都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,分類,教育標準開始時間,教育標準終了時間
221309,31172,静岡県,浜松市,湖東幼稚園,コトウヨウチエン,4311103,中央区,浜松市中央区湖東町1169-179,,34.762664,137.664525,（053）486-1010,（学）富塚学園,270,新制度移行済園,8:30,15:00
221309,31156,静岡県,浜松市,日本文教幼稚園,ニホンブンキョウヨウチエン,4300917,中央区,浜松市中央区常盤町141-20,,34.710798,137.732605,（053）452-5511,（学）日本文教学園,100,新制度移行済園,10:00,14:00
221309,31169,静岡県,浜松市,浜松海の星幼稚園,ハママツウミノホシヨウチエン,4328018,中央区,浜松市中央区蜆塚三丁目14-3,,34.715002,137.707792,（053）455-3641,（学）浜松海の星学院,174,新制度移行済園,9:00,14:00
221309,31170,静岡県,浜松市,海の星鷺の宮幼稚園,ウミノホシサギノミヤヨウチエン,4313113,中央区,浜松市中央区大瀬町27-32,,34.754800,137.764595,（053）434-0051,（学）浜松海の星学院,180,新制度移行済園,9:00,14:00
221309,31176,静岡県,浜松市,旭ヶ丘幼稚園,アサヒガオカヨウチエン,4338112,中央区,浜松市中央区初生町1139,,34.771445,137.731078,（053）437-4873,（学）浜松平和学園,440,新制度移行済園,10:00,14:00
221309,31177,静岡県,浜松市,浜名幼稚園,ハマナヨウチエン,4310213,中央区,浜松市中央区舞阪町浜田76,,34.682761,137.615704,（053）592-0850,（学）エイチ・エム・エヌ学園,60,新制度移行済園,10:00,14:00
221309,31383,静岡県,浜松市,水窪幼稚園,ミサクボヨウチエン,4314101,天竜区,浜松市天竜区水窪町奥領家3184,,35.167620,137.866487,（053）987-0769,（学）ふたば学園,15,新制度移行済園,9:00,14:00
221309,31161,静岡県,浜松市,松城幼稚園,マツシロヨウチエン,4328014,中央区,浜松市中央区鹿谷町1-1,,34.713179,137.722292,（053）452-2088,（学）松城幼稚園,75,新制度移行済園,9:00,14:00
221309,31282,静岡県,浜松市,三松幼稚園,サンショウヨウチエン,4311414,浜名区,浜松市浜名区三ヶ日町三ヶ日432,,34.808923,137.555537,（053）525-3434,（学）三松学園,96,新制度移行済園,9:30,14:00
221309,31139,静岡県,浜松市,富塚幼稚園,トミツカヨウチエン,4328002,中央区,浜松市中央区富塚町659,,34.725583,137.705923,（053）471-3491,（学）富塚学園,240,新制度移行済園,9:00,15:00
221309,31158,静岡県,浜松市,浜松葵幼稚園,ハママツアオイヨウチエン,4338123,中央区,浜松市中央区幸四丁目27-1,,34.743792,137.730864,（053）471-6878,（学）浜松葵学園,150,新制度移行済園,10:00,14:00
221309,31181,静岡県,浜松市,平成幼稚園,ヘイセイヨウチエン,4338119,中央区,浜松市中央区高丘北三丁目16-14,,34.765501,137.700072,（053）438-2800,（学）浜松葵学園,150,新制度移行済園,9:50,14:00
221309,31174,静岡県,浜松市,篠ヶ瀬幼稚園,ササガセヨウチエン,4350042,中央区,浜松市中央区篠ケ瀬町286,,34.728841,137.773077,（053）464-8424,（学）梅華学園,200,新制度移行済園,9:30,14:00
221309,31140,静岡県,浜松市,佐藤幼稚園,サトウヨウチエン,4300807,中央区,浜松市中央区佐藤三丁目15-18,,34.713017,137.750582,（053）463-7882,（学）青い鳥学園,140,新制度移行済園,9:45,14:00
221309,31149,静岡県,浜松市,早出幼稚園,ソウデヨウチエン,4350054,中央区,浜松市中央区早出町1414-1,,34.733654,137.749063,（053）464-4618,（学）早出学園,175,新制度移行済園,9:00,14:00
221309,31159,静岡県,浜松市,浜松学院大学付属幼稚園,ハママツガクインダイガクフゾクヨウチエン,4300906,中央区,浜松市中央区住吉一丁目22-5,,34.727179,137.723551,（053）472-5193,（学）興誠学園,240,新制度移行済園,9:00,14:00
221309,31167,静岡県,浜松市,志都呂幼稚園,シトロヨウチエン,4328066,中央区,浜松市中央区志都呂町1302,,34.701166,137.655664,（053）448-1283,（学）志都呂学園,240,新制度移行済園,10:00,14:20
221309,31150,静岡県,浜松市,蒲幼稚園,カバヨウチエン,4300801,中央区,浜松市中央区神立町480,,34.716632,137.750984,（053）461-2612,（学）蒲学園,500,新制度移行済園,9:00,14:00
221309,32134,静岡県,浜松市,萩丘幼稚園,ハギオカヨウチエン,4338124,中央区,浜松市中央区泉二丁目3-10,,34.743424,137.722775,（053）471-2494,（学）萩丘学園,420,新制度未移行園,9:00,15:00
221309,32135,静岡県,浜松市,鴨江幼稚園,カモエヨウチエン,4328024,中央区,浜松市中央区鴨江町97-3,,34.704573,137.721004,（053）452-5456,（学）鴨江寺学園,420,新制度未移行園,9:45,14:10
221309,32136,静岡県,浜松市,成子幼稚園,ナルコヨウチエン,4328035,中央区,浜松市中央区成子町13,,34.700156,137.725895,（053）452-2451,（学）法林寺学園,280,新制度未移行園,10:00,14:00
221309,32143,静岡県,浜松市,普済寺幼稚園,フサイジヨウチエン,4328013,中央区,浜松市中央区広沢一丁目2-1,,34.713328,137.719404,（053）453-1321,（学）普済寺幼稚園,260,新制度未移行園,10:00,14:00
221309,32145,静岡県,浜松市,あけぼの幼稚園,アケボノヨウチエン,4328011,中央区,浜松市中央区城北二丁目5-28,,34.721292,137.721086,（053）472-5818,（学）あけぼの学園,210,新制度未移行園,10:00,14:00
221309,32147,静岡県,浜松市,上島幼稚園,カミジマヨウチエン,4338122,中央区,浜松市中央区上島一丁目22-5,,34.736739,137.741818,（053）471-8951,（学）上島学園,240,新制度未移行園,9:00,14:00
221309,32151,静岡県,浜松市,駅南幼稚園,エキナンヨウチエン,4300925,中央区,浜松市中央区寺島町478,,34.701511,137.740767,（053）452-3734,（学）無憂樹学園,300,新制度未移行園,10:00,14:00
221309,32152,静岡県,浜松市,朝田幼稚園,アサダヨウチエン,4328053,中央区,浜松市中央区法枝町116-1,,34.685480,137.727933,（053）441-0369,（学）無憂樹学園,300,新制度未移行園,10:00,14:00
221309,32153,静岡県,浜松市,城北幼稚園,ジョウホクヨウチエン,4328004,中央区,浜松市中央区文丘町27-3,,34.726581,137.715484,（053）472-0336,（学）無憂樹学園,300,新制度未移行園,10:00,14:00
221309,32155,静岡県,浜松市,百花幼稚園,モモハナヨウチエン,4338108,中央区,浜松市中央区根洗町1497-2,,34.792320,137.710159,（053）438-0545,（学）無憂樹学園,310,新制度未移行園,10:00,14:00
221309,32157,静岡県,浜松市,青葉幼稚園,アオバヨウチエン,4328025,中央区,浜松市中央区栄町118,,34.704071,137.725967,（053）454-0255,（学）青葉学園,380,新制度未移行園,9:00,15:00
221309,32164,静岡県,浜松市,さなる幼稚園,サナルヨウチエン,4328068,中央区,浜松市中央区大平台四丁目9-1,,34.710040,137.678687,（053）485-7502,（学）さなる学園,345,新制度未移行園,10:00,14:00
221309,32171,静岡県,浜松市,美波幼稚園,ミナミヨウチエン,4300842,中央区,浜松市中央区大柳町50,,34.678358,137.753880,（053）444-3735,（学）無憂樹学園,200,新制度未移行園,10:00,14:00
221309,32173,静岡県,浜松市,追分幼稚園,オイワケヨウチエン,4338114,中央区,浜松市中央区葵東二丁目10-23,,34.760404,137.723913,（053）437-2831,（学）無憂樹学園,320,新制度未移行園,10:00,14:00
221309,32278,静岡県,浜松市,気賀幼稚園,キガヨウチエン,4311305,浜名区,浜松市浜名区細江町気賀997-1,,34.809983,137.652658,（053）522-0313,（学）気賀学園,180,新制度未移行園,9:30,14:00
221309,32279,静岡県,浜松市,北浜幼稚園,キタハマヨウチエン,4340038,浜名区,浜松市浜名区貴布祢409,,34.795238,137.785763,（053）586-2855,（学）北浜学園,700,新制度未移行園,8:30,14:30
